ID,Text,Label
D5 - 1,y r u always l8 to the meetings?,Human
D5 - 2,The project team embraced a user-centric design approach for product development.,AI
D5 - 3,"i dont like dealing with risks, it's too stressful",Human
D5 - 4,"i dont worry about reliability, it's good enough",Human
D5 - 5,"i dont care about human-centered design, just give me the final product",Human
D5 - 6,The study's methodology ensured a representative sample across demographics.,AI
D5 - 7,"i dont care about industry practices, just give me the solution",Human
D5 - 8,The project team documented all processes for transparency.,AI
D5 - 9,The project team maintained open lines of communication.,AI
D5 - 10,The findings are consistent with existing theoretical frameworks.,AI
D5 - 11,"i dont like inclusive decision-making, it's too slow",Human
D5 - 12,The results are presented in a logically organized manner.,AI
D5 - 13,The research findings have practical implications for industry professionals.,AI
D5 - 14,"i dont talk about limitations, it makes me look bad",Human
D5 - 15,The research methodology incorporated a multi-method approach for comprehensive data.,AI
D5 - 16,"i dont care about participant responses, just give me the data",Human
D5 - 17,"The study's limitations are openly acknowledged, recognizing study boundaries.",AI
D5 - 18,"The study's limitations are openly discussed, recognizing potential shortcomings.",AI
D5 - 19,"i dont like solving problems, it's too much effort",Human
D5 - 20,"i dont care about skill development, it's irrelevant",Human
D5 - 21,The research findings contribute to the theoretical foundation of the field.,AI
D5 - 22,The project team maintained a collaborative and inclusive decision-making process.,AI
D5 - 23,"i dont worry about bias, it's unavoidable",Human
D5 - 24,"i prefer working alone, teamwork is too complicated",Human
D5 - 25,The study of behavioral economics examines the psychological factors influencing economic decisions.,AI
D5 - 26,lol ur jokes r so lame,Human
D5 - 27,The project team prioritized transparent communication with stakeholders.,AI
D5 - 28,"In environmental science, the impact of deforestation on biodiversity is a critical concern.",AI
D5 - 29,The research design accounts for potential confounding variables.,AI
D5 - 30,"In the field of robotics, biomimicry leads to the development of more efficient robots.",AI
D5 - 31,"i dont like solving problems, it's too much effort",Human
D5 - 32,"i dont talk about limitations, it makes me look bad",Human
D5 - 33,The project team adhered to the project timeline.,AI
D5 - 34,"i dont worry about accuracy, it's good enough",Human
D5 - 35,It's important to cite sources properly in academic writing.,AI
D5 - 36,The project team utilized feedback to enhance the project deliverables.,AI
D5 - 37,"i dont care about psychological factors, just give me the data",Human
D5 - 38,"The study's limitations are openly discussed, addressing potential biases.",AI
D5 - 39,"i dont understand machine learning, just give me the conclusion",Human
D5 - 40,The project team displayed creativity in problem-solving.,AI
D5 - 41,The project team maintained a high level of accuracy in data entry.,AI
D5 - 42,"i dont like continuous feedback, it's too repetitive",Human
D5 - 43,"The study's limitations are transparently presented, acknowledging potential challenges.",AI
D5 - 44,"i dont like open communication, it's too time-consuming",Human
D5 - 45,"i dont care about internal validity, it's too technical",Human
D5 - 46,"i prefer to follow, leadership is too much responsibility",Human
D5 - 47,"In automotive design, aerodynamics play a crucial role in improving fuel efficiency.",AI
D5 - 48,ur not gonna believe what happened in class today,Human
D5 - 49,y r u always l8 to the meetings?,Human
D5 - 50,The results are presented in a visually appealing and clear manner.,AI
D5 - 51,The research methodology ensures data validity through robust statistical checks.,AI
D5 - 52,The analysis revealed statistically significant correlations.,AI
D5 - 53,The project team exhibited a high level of professionalism.,AI
D5 - 54,"i dont pay attention to details, they slow me down",Human
D5 - 55,"i dont like collaborative knowledge-sharing, it's too time-consuming",Human
D5 - 56,"i dont care about biofuels, just give me the data",Human
D5 - 57,"i dont care about response rates, its not important",Human
D5 - 58,The automotive industry is exploring self-driving technology for safer transportation.,AI
D5 - 59,The analysis considered potential correlations between variables for deeper understanding.,AI
D5 - 60,The research design accounts for potential bias in data collection.,AI
D5 - 61,"i dont need real-world problems, just give me the solution",Human
D5 - 62,The analysis employed rigorous statistical controls for data accuracy.,AI
D5 - 63,"i collect data randomly, it's faster",Human
D5 - 64,The study's methodology minimizes the potential for sampling bias.,AI
D5 - 65,"i dont like talking to people, communication is overrated",Human
D5 - 66,"i dont worry about reliability, it's good enough",Human
D5 - 67,The research methodology ensures the reliability of the study.,AI
D5 - 68,"i dont care about CRISPR technology, just give me the data",Human
D5 - 69,This is a well-structured sentence.,AI
D5 - 70,The project team utilized data encryption techniques to ensure participant privacy.,AI
D5 - 71,u know wat im talkin abt right?,Human
D5 - 72,"i dont worry about accuracy, it's good enough",Human
D5 - 73,"i dont talk about limitations, it makes me look bad",Human
D5 - 74,"i dont like data visualization, it's unnecessary",Human
D5 - 75,"i dont have time to consider alternatives, just tell me what to do",Human
D5 - 76,The project team maintained an agile mindset for adaptability to changing requirements.,AI
D5 - 77,The analysis employed machine learning algorithms for predictive modeling accuracy.,AI
D5 - 78,The project team utilized industry best practices for quality assurance.,AI
D5 - 79,The data analysis revealed statistically significant correlations.,AI
D5 - 80,"I'm gonna skip class today, who cares?",Human
D5 - 81,"I dont like deadlines, they stress me out",Human
D5 - 82,"i dont like cloud-based tools, they're too complex",Human
D5 - 83,"i dont like agile approaches, they're too unpredictable",Human
D5 - 84,The study of psychology sheds light on the complexities of human behavior and cognition.,AI
D5 - 85,"i dont like dealing with risks, it's too stressful",Human
D5 - 86,The survey instrument underwent rigorous validation procedures.,AI
D5 - 87,Machine learning algorithms have various applications.,AI
D5 - 88,The research methodology ensured participant anonymity and confidentiality.,AI
D5 - 89,"i dont validate surveys, it takes too much time",Human
D5 - 90,"i dont need to read the conclusion, just tell me the answer",Human
D5 - 91,The data analysis revealed statistically significant correlations.,AI
D5 - 92,The project team maintained a positive team dynamic throughout.,AI
D5 - 93,The project team maintained open communication throughout.,AI
D5 - 94,The project team demonstrated adaptability in changing circumstances.,AI
D5 - 95,The project team maintained open communication throughout.,AI
D5 - 96,The survey questions were carefully crafted for reliability.,AI
D5 - 97,The findings contribute to evidence-based practices in the relevant field.,AI
D5 - 98,The project team exhibited adaptability in changing circumstances.,AI
D5 - 99,The findings contribute to evidence-based decision-making in practical settings.,AI
D5 - 100,The research question is designed to address gaps in existing theoretical frameworks.,AI
D5 - 101,The research design accounted for variations in participant demographics.,AI
D5 - 102,"i dont validate data, it's a waste of time",Human
D5 - 103,"i dont understand advanced statistics, just give me the conclusion",Human
D5 - 104,The project team maintained consistent and transparent communication with clients.,AI
D5 - 105,The project team maintained regular retrospectives for process improvement.,AI
D5 - 106,The theoretical framework provides a conceptual basis for the study.,AI
D5 - 107,The project team efficiently managed project resources.,AI
D5 - 108,"i prefer to follow, leadership is too much responsibility",Human
D5 - 109,The project team displayed creativity in problem-solving.,AI
D5 - 110,The research findings are applicable to real-world scenarios.,AI
D5 - 111,"i dont care about quantum entanglement, just get the job done",Human
D5 - 112,"i dont care about bias, just give me the conclusion",Human
D5 - 113,The literature review provides a comprehensive overview.,AI
D5 - 114,"The survey response rate was high, ensuring data validity.",AI
D5 - 115,"i dont care about employee well-being, just get the work done",Human
D5 - 116,The professor's lectures are informative and engaging.,AI
D5 - 117,"i dont care about 3D printing, just give me the results",Human
D5 - 118,The analysis includes robust statistical tests for data validation.,AI
D5 - 119,The project team prioritized cross-functional training to enhance skill sets.,AI
D5 - 120,The project team maintained an open feedback culture for continuous improvement.,AI
D5 - 121,"i prefer working alone, teamwork is too complicated",Human
D5 - 122,"i prefer working alone, collaboration is too complicated",Human
D5 - 123,"i dont care about internal validity, it's too technical",Human
D5 - 124,"i dont care about bias, it's unavoidable",Human
D5 - 125,The research methodology considered the ethical implications of data collection.,AI
D5 - 126,"i dont like inclusive decision-making, it's too slow",Human
D5 - 127,"Augmented reality is enhancing user experiences in various fields, from education to healthcare.",AI
D5 - 128,The data analysis revealed unexpected patterns in the data.,AI
D5 - 129,"i dont care about industry trends, they change too quickly",Human
D5 - 130,The analysis includes robust statistical tests for data validation.,AI
D5 - 131,The integration of renewable energy grids is a key step toward sustainable power systems.,AI
D5 - 132,"Thx for ur help, it was gr8",Human
D5 - 133,"i dont care about industry trends, they change too quickly",Human
D5 - 134,The project team embraced an iterative development process for product enhancement.,AI
D5 - 135,The project team demonstrated strong leadership skills.,AI
D5 - 136,"i dont care about hydrogen fuel cells, just give me the data",Human
D5 - 137,"i dont get y we have to control for variables, its too much work",Human
D5 - 138,"i dont care about internal validity, it's too technical",Human
D5 - 139,The team successfully implemented the new software.,AI
D5 - 140,"The study's limitations are openly discussed, acknowledging potential biases.",AI
D5 - 141,The research methodology ensured participant anonymity through coded identifiers.,AI
D5 - 142,"i dont care about professional development, it's irrelevant",Human
D5 - 143,"i dont care about users, just give me the final product",Human
D5 - 144,The research aligns with current trends in the industry.,AI
D5 - 145,The project team prioritized user feedback for product improvement.,AI
D5 - 146,The study's limitations are acknowledged with humility.,AI
D5 - 147,"i dont care about user-centric design, just give me the final product",Human
D5 - 148,"i dont care about diversity and inclusion, just get the job done",Human
D5 - 149,"i didnt read the assignment, can u give me a summary?",Human
D5 - 150,"i dont see the point of context, just give me the answer",Human
D5 - 151,This research significantly advances our understanding of the topic.,AI
D5 - 152,"i dont see the point of research questions, just do the work",Human
D5 - 153,The analysis considered potential cultural biases in data interpretation.,AI
D5 - 154,"i dont need novel insights, just practical solutions",Human
D5 - 155,"i dont see the point of research questions, just do the work",Human
D5 - 156,"i dont care about controls, just give me the results",Human
D5 - 157,The project team demonstrated attention to detail in every phase.,AI
D5 - 158,"i dont see the point of objectives, just give me the answer",Human
D5 - 159,The data collection process was systematic and thorough.,AI
D5 - 160,"i dont care about user feedback, they dont know what they want",Human
D5 - 161,"i dont like using technology, it's confusing",Human
D5 - 162,"i dont worry about external validity, it's too technical",Human
D5 - 163,The data collection process was systematic and thorough.,AI
D5 - 164,"i dont worry about bias, it's unavoidable",Human
D5 - 165,The survey instrument underwent rigorous validation procedures.,AI
D5 - 166,"i dont like clear documentation, it's too repetitive",Human
D5 - 167,"i dont care about participant biases, just give me the results",Human
D5 - 168,"i dont pay attention to details, they slow me down",Human
D5 - 169,The project team utilized iterative development for continuous improvement.,AI
D5 - 170,The findings provide practical implications for real-world applications.,AI
D5 - 171,"i dont like theory, just give me what works",Human
D5 - 172,"Virtual reality is revolutionizing the gaming industry, providing immersive experiences.",AI
D5 - 173,The findings contribute to the ongoing discourse within the academic community.,AI
D5 - 174,The data collection process was systematic and thorough.,AI
D5 - 175,"i dont see the point of research questions, just do the work",Human
D5 - 176,The data analysis employed advanced statistical techniques for accurate interpretation.,AI
D5 - 177,"i dont care about physics, it's too complicated",Human
D5 - 178,The project team embraced an agile project management approach for flexibility.,AI
D5 - 179,The project team maintained transparency in reporting progress to stakeholders.,AI
D5 - 180,"i dont like communicating, it's a waste of time",Human
D5 - 181,The research findings are generalizable to a broader population.,AI
D5 - 182,"i dont understand methodologies, just get it done",Human
D5 - 183,"i dont see the point of research questions, just do the work",Human
D5 - 184,"i dont like retrospectives, they're too time-consuming",Human
D5 - 185,"i avoid conflicts, they stress me out",Human
D5 - 186,"i dont like flexible timelines, it's too unpredictable",Human
D5 - 187,"i dont like managing expectations, it's too much responsibility",Human
D5 - 188,"i dont know how to write an abstract, can u do it for me?",Human
D5 - 189,"i dont care about organization, just give me the numbers",Human
D5 - 190,"i dont talk about limitations, it makes me look bad",Human
D5 - 191,"i dont care about visuals, just give me the numbers",Human
D5 - 192,"i prefer working alone, teamwork is too complicated",Human
D5 - 193,"i dont care about psychology, just give me the results",Human
D5 - 194,"i dont care about bias, data is data",Human
D5 - 195,The project team demonstrated attention to detail in every phase.,AI
D5 - 196,The project team demonstrated adaptability in response to client feedback.,AI
D5 - 197,The project team maintained a proactive approach to team conflict resolution.,AI
D5 - 198,"i dont care about systematic bias, just give me the conclusion",Human
D5 - 199,The research question is framed to address current challenges in the field.,AI
D5 - 200,"i dont need practical applications, just give me the theory",Human
D5 - 201,The research design ensures data reliability through consistent measurement protocols.,AI
D5 - 202,"i dont care about ongoing discourse, it's too academic",Human
D5 - 203,The discussion section interprets the findings in context.,AI
D5 - 204,"i dont like documenting processes, it's too tedious",Human
D5 - 205,The project team prioritized user feedback for product improvement.,AI
D5 - 206,"i dont need practical issues, just give me the solution",Human
D5 - 207,"i dont worry about reliability, it's good enough",Human
D5 - 208,"i dont talk about limitations, it makes me look bad",Human
D5 - 209,"i dont care about implications, just give me the results",Human
D5 - 210,why do we even have to write papers?,Human
D5 - 211,"i dont care about coding standards, my code works",Human
D5 - 212,"i dont like theory, just give me what works",Human
D5 - 213,"i dont need practical implications, just tell me what to do",Human
D5 - 214,The study's design considers ethical considerations in data collection.,AI
D5 - 215,The project team maintained a clear and concise project communication strategy.,AI
D5 - 216,The study's limitations are transparently acknowledged in the discussion.,AI
D5 - 217,"i dont pay attention to details, they slow me down",Human
D5 - 218,"i dont talk about limitations, it makes me look bad",Human
D5 - 219,"i dont care about environmental factors, just give me the data",Human
D5 - 220,"i dont like inclusive decision-making, it's too slow",Human
D5 - 221,"i dont care about academic dialogue, it's too theoretical",Human
D5 - 222,"i dont have time for step-by-step guides, just tell me the answer",Human
D5 - 223,"i dont like clear reporting, it's too repetitive",Human
D5 - 224,"i dont care about biases, just give me the conclusion",Human
D5 - 225,"i dont like transparent communication, it's too vulnerable",Human
D5 - 226,The discussion section explores alternative interpretations.,AI
D5 - 227,"In materials science, the discovery of new superconductors holds promise for various applications.",AI
D5 - 228,The research design minimizes the risk of internal validity threats.,AI
D5 - 229,The research question is situated within a broader context.,AI
D5 - 230,"i dont like dealing with risks, it's too stressful",Human
D5 - 231,"i dont like communicating, it's a waste of time",Human
D5 - 232,"i avoid conflicts, they stress me out",Human
D5 - 233,The study's findings contribute to the ongoing discourse in the field.,AI
D5 - 234,"i dont worry about reliability, it's good enough",Human
D5 - 235,I dont understand y we have to do group projects,Human
D5 - 236,"i dont care about biases, just give me the conclusion",Human
D5 - 237,"i dont worry about accuracy, it's good enough",Human
D5 - 238,"i dont like theory, just give me what works",Human
D5 - 239,The findings have practical implications for real-world applications.,AI
D5 - 240,"i dont like reading, it's a waste of time",Human
D5 - 241,The project team leveraged technology to streamline project processes.,AI
D5 - 242,The project team maintained a proactive approach to problem identification.,AI
D5 - 243,i dont think exams r a good way to evaluate,Human
D5 - 244,Programming languages play a crucial role in software development.,AI
D5 - 245,The research question is situated within a broader context.,AI
D5 - 246,"i dont like communicating goals, it's a waste of time",Human
D5 - 247,"i dont see the point of professionalism, it's overrated",Human
D5 - 248,"i dont care about external factors, just give me the main results",Human
D5 - 249,"i dont understand statistics, just give me the answer",Human
D5 - 250,The analysis considered the correlation between social media usage and mental health.,AI
D5 - 251,The findings contribute to the ongoing discourse within the academic community.,AI
D5 - 252,The data analysis revealed unexpected patterns in the data.,AI
D5 - 253,The study's methodology utilized a mixed-methods approach for comprehensive insights.,AI
D5 - 254,Artificial Intelligence is a fascinating field.,AI
D5 - 255,"i dont care about marine biology, just give me the results",Human
D5 - 256,"i dont need practical implications, just tell me what to do",Human
D5 - 257,"i dont need real-world problems, just give me the solution",Human
D5 - 258,The project team embraced a collaborative approach to problem-solving.,AI
D5 - 259,The integration of artificial intelligence in healthcare enhances diagnostics and treatment.,AI
D5 - 260,The coding standards were followed in the software development.,AI
D5 - 261,"i dont manage resources, it's too much effort",Human
D5 - 262,"i dont see the point of research questions, just do the work",Human
D5 - 263,The research question examined the effectiveness of personalized learning in education.,AI
D5 - 264,"i dont care about mixed-methods approaches, just give me the results",Human
D5 - 265,"i dont like surprises, just give me the expected results",Human
D5 - 266,The analysis explores potential alternative interpretations.,AI
D5 - 267,The study contributes novel insights to the field.,AI
D5 - 268,"i dont see the point of research questions, just do the",
D5 - 269,i dont get y we have to worry about confounding variables,Human
D5 - 270,"i dont care about biomimicry, just give me the data",Human
D5 - 271,The study explores the interplay between variables in the model.,AI
D5 - 272,"i dont care about methodologies, just give me the results",Human
D5 - 273,The project team demonstrated effective time management.,AI
D5 - 274,The analysis considered potential biases introduced during participant recruitment.,AI
D5 - 275,The research question is situated within a broader context.,AI
D5 - 276,"i dont like changing client requirements, it's too disruptive",Human
D5 - 277,The study explored the intersection of multiple variables.,AI
D5 - 278,"i dont talk about limitations, it makes me look bad",Human
D5 - 279,The research question is clearly defined and researchable.,AI
D5 - 280,"i dont care about software, as long as it gets the job done",Human
D5 - 281,The project was completed within the allocated budget.,AI
D5 - 282,"i dont care about confounding variables, just give me the results",Human
D5 - 283,The findings contribute valuable insights to emerging trends within the field.,AI
D5 - 284,The project team demonstrated flexibility in adapting to changing requirements.,AI
D5 - 285,The project team maintained open communication throughout.,AI
D5 - 286,"i dont manage resources, it's too much effort",Human
D5 - 287,"i dont care about demographics, just give me the data",Human
D5 - 288,The analysis considered potential biases in data interpretation.,AI
D5 - 289,"i dont like change, it disrupts my routine",Human
D5 - 290,The project team demonstrated effective risk management.,AI
D5 - 291,The findings contribute to evidence-based decision-making in real-world scenarios.,AI
D5 - 292,The study contributes to the existing body of knowledge.,AI
D5 - 293,"i dont care about industry trends, they change too quickly",Human
D5 - 294,"i dont care about industry knowledge, just give me the solution",Human
D5 - 295,"i dont like communicating progress, it's a waste of time",Human
D5 - 296,"i dont care about organizational culture, just give me the data",Human
D5 - 297,"i dont care about electric cars, just give me the results",Human
D5 - 298,The project team implemented a data-driven marketing strategy for better targeting.,AI
D5 - 299,The study's methodology ensures replicability by future researchers.,AI
D5 - 300,The project team leveraged virtual reality for immersive training experiences.,AI
D5 - 301,The research design minimizes the risk of internal validity threats.,AI
D5 - 302,The project team embraced a culture of continuous improvement.,AI
D5 - 303,"i avoid conflicts, they stress me out",Human
D5 - 304,"The study's limitations are openly acknowledged, recognizing the study's scope.",AI
D5 - 305,The study's methodology ensures replicability by future researchers.,AI
D5 - 306,The study of black holes in astrophysics unveils mysteries about the nature of spacetime.,AI
D5 - 307,The project team maintained a high level of motivation throughout.,AI
D5 - 308,The study's methodology considered the influence of cultural factors.,AI
D5 - 309,"i dont care about academic discourse, it's too theoretical",Human
D5 - 310,The data analysis employed advanced statistical techniques for accuracy.,AI
D5 - 311,"i dont care about hyperloop technology, just give me the data",Human
D5 - 312,The research question is clearly defined and researchable.,AI
D5 - 313,"i avoid conflicts, they stress me out",Human
D5 - 314,The methodology section provides a step-by-step guide to the study.,AI
D5 - 315,"i dont like solving problems, its too hard",Human
D5 - 316,The data analysis revealed statistically significant correlations.,AI
D5 - 317,"i dont need practical implications, just tell me what to do",Human
D5 - 318,"i dont like dealing with cybersecurity, it's too stressful",Human
D5 - 319,The project team maintained consistent and effective communication channels.,AI
D5 - 320,The study's implications for practice are discussed in detail.,AI
D5 - 321,"i prefer working alone, collaboration is too complicated",Human
D5 - 322,"i dont worry about privacy, it's overrated",Human
D5 - 323,The research design considered the potential impact of socio-economic factors.,AI
D5 - 324,The project team exhibited a high level of professionalism.,AI
D5 - 325,"Thx for ur help, it was gr8",Human
D5 - 326,"i dont care about eco-friendly approaches, just get the work done",Human
D5 - 327,"i dont understand machine learning, just give me the results",Human
D5 - 328,"i dont care about personalized learning, just give me the solution",Human
D5 - 329,The study contributes novel insights to the field.,AI
D5 - 330,The research methodology ensures the reliability of the study.,AI
D5 - 331,The literature cited section is accurate and complete.,AI
D5 - 332,"i dont see the point of professionalism, it's overrated",Human
D5 - 333,The project team maintained an eco-friendly approach to project operations.,AI
D5 - 334,"i dont like solving problems, it's too much effort",Human
D5 - 335,The project team maintained a proactive approach to conflict resolution.,AI
D5 - 336,"i prefer working alone, teamwork is too complicated",Human
D5 - 337,u know wat im talkin abt right?,Human
D5 - 338,The project team demonstrated effective communication skills.,AI
D5 - 339,The project team effectively utilized project management tools.,AI
D5 - 340,The research methodology addresses potential threats to external validity.,AI
D5 - 341,The research design investigated the role of genetics in susceptibility to diseases.,AI
D5 - 342,"i dont talk about limitations, it makes me look bad",Human
D5 - 343,The project team demonstrated excellent collaboration.,AI
D5 - 344,"i dont pay attention in class, its boring",Human
D5 - 345,"i dont care about theory, I just want practical stuff",Human
D5 - 346,"i dont talk about limitations, it makes me look bad",Human
D5 - 347,The research aligns with emerging trends and innovations in the field.,AI
D5 - 348,The project team employed innovative strategies for problem-solving.,AI
D5 - 349,The methodology section provides a step-by-step guide to the study.,AI
D5 - 350,The research methodology ensures the anonymity of participants through coding.,AI
D5 - 351,"In conclusion, the findings support the hypothesis.",AI
D5 - 352,"i dont like agile approaches, they're too unpredictable",Human
D5 - 353,"i dont care about ethics, it's too restrictive",Human
D5 - 354,"i dont like literature reviews, they're too time-consuming",Human
D5 - 355,"i dont like theory, just give me practical solutions",Human
D5 - 356,"i dont talk about limitations, it makes me look bad",Human
D5 - 357,"i dont care about self-driving technology, just give me the data",Human
D5 - 358,The project team maintained an inclusive decision-making process.,AI
D5 - 359,"i dont care about data-driven strategies, just give me the results",Human
D5 - 360,The references include reputable sources.,AI
D5 - 361,"i dont care about participant responses, just give me the data",Human
D5 - 362,"i dont like communicating, it's a waste of time",Human
D5 - 363,The project team maintained a positive team dynamic throughout.,AI
D5 - 364,"i dont care about replicability, just get it done",Human
D5 - 365,lol ur jokes r so lame,Human
D5 - 366,The research question is designed to address real-world challenges faced by practitioners.,AI
D5 - 367,The project team effectively resolved conflicts as they arose.,AI
D5 - 368,The study of marine biology reveals the fascinating diversity of life in the oceans.,AI
D5 - 369,"i dont care about renewable energy, just give me the data",Human
D5 - 370,The findings provide practical implications for real-world applications.,AI
D5 - 371,The analysis employed advanced statistical techniques for robust results.,AI
